Ad_ID,User_ID,Clicks,Impressions,Conversions,Spend,Platform,Geo_Location,Travel_Date,Device_Type,CTR,CR,ROAS
1022,13652,249,1808,59,449.58,Web,Illinois,2024-11-24,Mobile,0.1377212389380531,0.23694779116465864,6.56
1045,27422,411,4107,63,435.6,Web,California,2024-02-28,Mobile,0.10007304601899196,0.15328467153284672,7.23
1063,49348,204,2039,44,156.21,Mobile,New York,2024-01-14,Mobile,0.10004904364884748,0.21568627450980393,14.08
1078,45478,840,9361,59,366.4,Mobile,Texas,2024-05-21,Desktop,0.08973400277748105,0.07023809523809524,8.05
1085,35831,786,7147,92,169.53,Web,Illinois,2024-05-06,Tablet,0.10997621379599833,0.11704834605597965,27.13
1025,36414,319,8609,77,473.31,Web,California,2024-04-25,Desktop,0.03705424555697526,0.2413793103448276,8.13
1004,28630,739,1973,49,302.39,Web,Florida,2024-03-13,Mobile,0.3745565129244805,0.06630581867388363,8.1
1033,44207,511,1910,45,418.94,Mobile,New York,2024-02-23,Desktop,0.2675392670157068,0.08806262230919765,5.37
1018,32782,517,3992,12,419.84,Mobile,Florida,2024-12-13,Desktop,0.12950901803607215,0.02321083172147002,1.43
1096,14935,815,6656,73,202.49,Web,Florida,2024-10-07,Desktop,0.12244591346153846,0.08957055214723926,18.03
1060,28389,702,9826,31,285.56,Mobile,New York,2024-02-15,Tablet,0.07144311011601873,0.04415954415954416,5.43
1059,20432,272,2692,21,276.47,Mobile,California,2024-10-30,Mobile,0.10104011887072809,0.07720588235294118,3.8
1064,38301,137,5175,70,352.12,Mobile,Texas,2024-08-05,Mobile,0.02647342995169082,0.5109489051094891,9.94
1017,29195,101,6184,40,206.89,Mobile,Florida,2024-01-18,Mobile,0.01633247089262613,0.39603960396039606,9.67
1047,47031,922,8785,55,210.4,Mobile,Florida,2024-01-17,Mobile,0.10495162208309619,0.0596529284164859,13.07
1079,11673,272,9268,49,105.61,Mobile,Texas,2024-02-18,Tablet,0.0293482952093224,0.1801470588235294,23.2
1001,23769,357,1031,38,157.79,Web,New York,2024-04-22,Mobile,0.34626576139670223,0.10644257703081232,12.04
1042,18561,775,3047,51,429.18,Mobile,Florida,2024-04-30,Desktop,0.2543485395470955,0.06580645161290323,5.94
1069,22680,239,1642,19,178.75,Web,New York,2024-09-16,Tablet,0.14555420219244825,0.0794979079497908,5.31
1032,45818,959,6452,50,139.34,Mobile,Texas,2024-11-05,Mobile,0.1486360818350899,0.05213764337851929,17.94
1089,27246,859,7164,67,277.78,Mobile,New York,2024-01-15,Tablet,0.11990508096035735,0.0779976717112922,12.06
1023,27655,961,9692,21,155.95,Mobile,Texas,2024-10-15,Tablet,0.09915394139496492,0.021852237252861603,6.73
1015,37928,611,7981,57,254.4,Web,California,2024-04-12,Mobile,0.07655682245332665,0.09328968903436989,11.2
1000,39811,956,3026,35,417.77,Mobile,Illinois,2024-11-29,Tablet,0.3159286186384666,0.036610878661087864,4.19
